INFO  - 2014-02-07 16:41:59.257; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
WARN  - 2014-02-07 16:42:00.175; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /data/solr/collection1/../../../contrib/langid/lib).
WARN  - 2014-02-07 16:42:00.175; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /data/solr/collection1/../../../dist).
WARN  - 2014-02-07 16:42:00.175; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /data/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2014-02-07 16:42:00.176; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /data/solr/collection1/../../../dist).
INFO  - 2014-02-07 16:42:00.178; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2014-02-07 16:42:00.179; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /data/solr/fs-voice/../../../contrib/extraction/lib).
WARN  - 2014-02-07 16:42:00.179; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /data/solr/fs-voice/../../../dist).
WARN  - 2014-02-07 16:42:00.179; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /data/solr/fs-voice/../../../contrib/clustering/lib).
WARN  - 2014-02-07 16:42:00.180; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /data/solr/fs-voice/../../../dist).
WARN  - 2014-02-07 16:42:00.180; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /data/solr/fs-voice/../../../contrib/langid/lib).
WARN  - 2014-02-07 16:42:00.180; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /data/solr/fs-voice/../../../dist).
WARN  - 2014-02-07 16:42:00.180; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /data/solr/fs-voice/../../../contrib/velocity/lib).
WARN  - 2014-02-07 16:42:00.181; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /data/solr/fs-voice/../../../dist).
INFO  - 2014-02-07 16:42:00.342; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-02-07 16:42:00.345; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-02-07 16:42:00.351; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-02-07 16:42:00.352; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-02-07 16:42:00.355; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-02-07 16:42:00.364; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-02-07 16:42:00.500; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-02-07 16:42:00.509; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-02-07 16:42:00.516; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-02-07 16:42:00.527; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-02-07 16:42:00.527; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-02-07 16:42:00.525; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-02-07 16:42:00.553; org.apache.solr.schema.IndexSchema; [fs-voice] Schema name=example
INFO  - 2014-02-07 16:42:00.619; org.apache.solr.schema.IndexSchema; [fs-user] Schema name=fsuser
